id,age,steps
18875,31,9159
36859,48,6764
99794,39,4308
33364,36,6410
73874,35,7870
66956,56,7670
63951,42,6175
11897,38,5180
47164,49,9377
58439,36,8722
86762,44,7822
63579,39,7297
49516,43,7250
9002,44,8671
18771,37,8309
77644,36,-1
92558,58,4517
17873,36,10386
92265,41,6314
78314,28,8908
92264,31,8461
2954,21,10431
59339,30,6045
53515,47,7315
10963,28,8841
65432,42,8336
63706,23,5570
42364,35,8026
42324,36,8213
62529,35,8232
15662,33,10819
21995,30,8174
38689,54,8917
54172,39,8501
89861,39,-1
69782,32,9257
36643,39,6710
31021,69,5922
53669,47,8638
76479,51,8160
76401,52,4821
39746,52,5436
20992,63,-1
59695,50,4259
88165,26,5451
39870,33,8696
33640,33,-1
54167,25,8079
86259,47,7895
54709,34,8325
84715,50,4842
11098,36,6831
77412,49,6329
36393,40,9511
46377,45,9340
6921,40,-1
61660,43,6690
57525,48,5038
22520,41,7994
13439,45,7876
32638,26,7237
86179,48,8084
29538,41,6224
64080,48,7237
28785,46,6478
53310,38,5683
6652,50,7107
93684,28,8516
40553,44,-1
37691,41,7909
7743,21,7078
25141,55,5800
8229,37,9718
70609,32,9858
62139,31,7422
79931,40,8096
17642,48,5747
32613,31,9218
27058,33,6760
26480,48,8898
97909,28,7456
37797,36,7867
76722,48,7099
41419,23,9834
14984,41,3736
4580,52,4856
20376,23,8591
65966,44,6186
68600,47,5179
76360,45,5965
62738,47,4969
86586,46,10721
98133,54,7368
34625,45,-1
22672,56,7508
46447,35,8109
37186,46,6739
23032,37,5565
19712,30,6468
87741,39,4892
44214,42,6440
95717,52,9727
40371,46,5214
88401,43,9944
89230,41,7936
9608,47,6666
32763,40,5959
86697,36,6986
90415,31,10259
8497,28,6713
4615,17,-1
67249,30,9391
70142,42,7448
50976,37,7863
585,32,6924
1815,38,-1
51731,54,4568
5448,45,-1
84959,27,5884
29724,46,8025
624,37,5211
28674,43,6929
83570,46,8354
30803,38,9128
54119,36,5710
65568,46,5693
46463,50,7241
39590,23,6794
16038,39,10534
63182,36,8439
