,movie name,movie star
0,肖申克的救赎,9.7
1,霸王别姬,9.6
2,阿甘正传,9.5
3,泰坦尼克号,9.5
4,千与千寻,9.4
5,这个杀手不太冷,9.4
6,美丽人生,9.5
7,星际穿越,9.4
8,盗梦空间,9.4
9,辛德勒的名单,9.5
10,楚门的世界,9.4
11,忠犬八公的故事,9.4
12,海上钢琴师,9.3
13,三傻大闹宝莱坞,9.2
14,放牛班的春天,9.3
15,机器人总动员,9.3
16,疯狂动物城,9.2
17,无间道,9.3
18,控方证人,9.6
19,大话西游之大圣娶亲,9.2
20,熔炉,9.4
21,教父,9.3
22,触不可及,9.3
23,当幸福来敲门,9.2
24,寻梦环游记,9.1
25,末代皇帝,9.3
26,龙猫,9.2
27,怦然心动,9.1
28,活着,9.3
29,哈利·波特与魔法石,9.2
30,蝙蝠侠：黑暗骑士,9.2
31,指环王3：王者无敌,9.3
32,我不是药神,9.0
33,乱世佳人,9.3
34,飞屋环游记,9.1
35,素媛,9.3
36,十二怒汉,9.4
37,哈尔的移动城堡,9.1
38,让子弹飞,9.0
39,何以为家,9.1
40,摔跤吧！爸爸,9.0
41,猫鼠游戏,9.1
42,天空之城,9.2
43,鬼子来了,9.3
44,海蒂和爷爷,9.3
45,少年派的奇幻漂流,9.1
46,钢琴家,9.3
47,大话西游之月光宝盒,9.0
48,指环王2：双塔奇兵,9.2
49,闻香识女人,9.1
50,死亡诗社,9.2
51,绿皮书,8.9
52,罗马假日,9.1
53,大闹天宫,9.4
54,天堂电影院,9.2
55,黑客帝国,9.1
56,指环王1：护戒使者,9.1
57,教父2,9.3
58,狮子王,9.1
59,辩护人,9.2
60,饮食男女,9.2
61,搏击俱乐部,9.0
62,本杰明·巴顿奇事,9.0
63,美丽心灵,9.1
64,穿条纹睡衣的男孩,9.2
65,窃听风暴,9.2
66,情书,8.9
67,两杆大烟枪,9.1
68,西西里的美丽传说,8.9
69,音乐之声,9.1
70,看不见的客人,8.8
71,阿凡达,8.8
72,哈利·波特与死亡圣器(下),9.0
73,拯救大兵瑞恩,9.1
74,飞越疯人院,9.1
75,小鞋子,9.2
76,沉默的羔羊,8.9
77,功夫,8.8
78,布达佩斯大饭店,8.9
79,禁闭岛,8.9
80,蝴蝶效应,8.9
81,哈利·波特与阿兹卡班的囚徒,9.0
82,致命魔术,8.9
83,心灵捕手,8.9
84,超脱,9.0
85,低俗小说,8.9
86,摩登时代,9.3
87,海豚湾,9.3
88,春光乍泄,9.0
89,喜剧之王,8.8
90,美国往事,9.2
91,致命ID,8.9
92,杀人回忆,8.9
93,哈利·波特与密室,8.9
94,红辣椒,9.1
95,七宗罪,8.8
96,加勒比海盗,8.8
97,一一,9.1
98,狩猎,9.1
99,唐伯虎点秋香,8.7
